what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357725200941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357725203149
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1357725203771
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357725206061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357725207016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357725232237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357725232715
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1357725255554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357725255579
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357725256860
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1357725261677
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1357725264875
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1357725265168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357725265508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357725267427
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357725267518
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1357725274805
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1357725278169
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357725283016
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1357725284989
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1357725285809
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1357725287657
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1357725288415
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1357725292623
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357725293403
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1357725296918
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1357725297079
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1357725297245
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1357725297565
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1357725298352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1357725299672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1357725312414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357725313137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357725315878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357725316462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357768284802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357768286156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357772029786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357772033867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357773846148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357774018819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357774020792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357774021268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357774338247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357774338964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357774344859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357774346922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357774899884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357774900615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357774901431
